timestep,episode,mean_reward
529200,7352,79.0216
529800,7359,80.6696
530000,EVAL,122.9569
530400,7367,86.0336
531000,7375,89.5294
531600,7383,68.9258
532200,7390,98.6002
532800,7396,82.0755
533400,7404,83.5810
534000,7411,115.7324
534600,7418,99.4568
535200,7425,112.9002
535800,7433,65.1202
536400,7440,102.7278
537000,7446,90.3448
537600,7454,78.1094
538200,7461,94.3774
538800,7468,58.0286
539400,7474,80.9135
540000,7482,57.0437
540000,EVAL,163.9149
540600,7488,94.3059
541200,7495,104.7378
541800,7503,64.4362
542400,7509,71.0405
543000,7517,87.2878
543600,7524,109.4115
544200,7531,87.1450
544800,7537,99.9556
545400,7545,83.0504
546000,7552,107.2059
546600,7558,64.3475
547200,7566,88.2834
547800,7573,100.5401
548400,7581,100.0139
549000,7587,111.1474
549600,7594,78.9301
550000,EVAL,111.6094
550200,7601,76.5098
550800,7609,74.7063
551400,7615,119.4386
552000,7622,95.3178
552600,7629,102.1945
553200,7637,82.0320
553800,7643,110.8057
554400,7649,93.1431
555000,7655,121.0855
555600,7663,67.9798
556200,7672,70.2722
556800,7679,101.9286
557400,7685,106.5345
558000,7694,62.6186
558600,7701,83.5997
559200,7711,62.9390
559800,7721,67.1837
560000,EVAL,109.3147
560400,7729,81.7505
561000,7736,93.0157
561600,7744,71.0489
562200,7752,89.1649
562800,7759,87.5990
563400,7767,80.2828
564000,7774,94.0452
564600,7781,84.1851
565200,7790,77.3162
565800,7797,87.4780
566400,7806,69.1011
567000,7814,87.4713
567600,7822,79.5768
568200,7830,59.2858
568800,7837,93.1335
569400,7844,71.4661
570000,7852,89.2878
570000,EVAL,111.5080
570600,7860,81.1876
571200,7868,75.2083
571800,7877,73.5691
572400,7884,86.5309
573000,7890,111.7555
573600,7896,112.7906
574200,7906,68.8976
574800,7915,68.6848
575400,7922,95.6083
576000,7930,69.3442
576600,7937,93.3912
577200,7945,96.7162
577800,7953,79.7935
578400,7959,92.0968
579000,7966,100.2571
579600,7973,96.9413
580000,EVAL,111.4134
580200,7980,87.6776
580800,7986,110.8889
581400,7993,94.0762
582000,8002,83.1269
582600,8009,83.4759
583200,8015,100.6701
583800,8023,83.4452
584400,8029,100.6099
585000,8036,98.3166
585600,8042,109.1189
586200,8050,63.5577
586800,8057,103.6004
587400,8065,82.6988
588000,8073,97.4599
588600,8081,69.3933
589200,8091,71.7546
589800,8098,92.4584
